Country Name,Year,Indicator Name,Value
Chile,2021,"Trademark applications, nonresident, by count",15595
Chile,2020,"Trademark applications, nonresident, by count",13214
Chile,2019,"Trademark applications, nonresident, by count",14032
Chile,2018,"Trademark applications, nonresident, by count",14505
Chile,2017,"Trademark applications, nonresident, by count",13640
Chile,2016,"Trademark applications, nonresident, by count",13548
Chile,2015,"Trademark applications, nonresident, by count",14061
Chile,2014,"Trademark applications, nonresident, by count",13701
Chile,2013,"Trademark applications, nonresident, by count",13794
Chile,2012,"Trademark applications, nonresident, by count",13684
Chile,2011,"Trademark applications, nonresident, by count",13925
Chile,2010,"Trademark applications, nonresident, by count",24328
Chile,2009,"Trademark applications, nonresident, by count",21281
Chile,2008,"Trademark applications, nonresident, by count",12036
Chile,2007,"Trademark applications, nonresident, by count",10908
Chile,2021,"Trademark applications, resident, by count",53520
Chile,2020,"Trademark applications, resident, by count",46719
Chile,2019,"Trademark applications, resident, by count",32915
Chile,2018,"Trademark applications, resident, by count",32909
Chile,2017,"Trademark applications, resident, by count",31720
Chile,2016,"Trademark applications, resident, by count",31820
Chile,2015,"Trademark applications, resident, by count",28903
Chile,2014,"Trademark applications, resident, by count",28939
Chile,2013,"Trademark applications, resident, by count",29167
Chile,2012,"Trademark applications, resident, by count",28169
Chile,2011,"Trademark applications, resident, by count",30011
Chile,2010,"Trademark applications, resident, by count",50733
Chile,2009,"Trademark applications, resident, by count",48771
Chile,2008,"Trademark applications, resident, by count",28130
Chile,2007,"Trademark applications, resident, by count",28833